ocid,id,contracts/0/id,contracts/0/suppliers/0/id,contracts/0/suppliers/0/name
ocds-lcuori-174905,ocds-lcuori-174905/3-contract,174905,HN-RTN-05019000040204,"Pacasa, S. de C.V. "
ocds-lcuori-174906,ocds-lcuori-174906/3-contract,174906,HN-RTN-08019995290621,DISPROA S. DE R.L. 
ocds-lcuori-174907,ocds-lcuori-174907/3-contract,174907,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-146041,ocds-lcuori-146041/4-contract,146041,HN-RTN-01071956011840,MEDITEC
ocds-lcuori-171277,ocds-lcuori-171277/4-contract,171277,HN-RTN-08019012466571,REDIPO
ocds-lcuori-171337,ocds-lcuori-171337/4-contract,171337,HN-RTN-08019995383067,Supermercado Canton S de RL.
ocds-lcuori-172639,ocds-lcuori-172639/3-contract,172639,HN-RTN-08019999408461,Representaciones y Distribuciones Hernandez S. de R.L
ocds-lcuori-172641,ocds-lcuori-172641/3-contract,172641,HN-RTN-05019000040204,"Pacasa, S. de C.V. "
ocds-lcuori-146739,ocds-lcuori-146739/3-contract,146739,HN-RTN-05019000040204,"Pacasa, S. de C.V. "
ocds-lcuori-171623,ocds-lcuori-171623/3-contract,171623,HN-RTN-08019995383067,Supermercado Canton S de RL.
ocds-lcuori-171624,ocds-lcuori-171624/3-contract,171624,HN-RTN-08019999408461,Representaciones y Distribuciones Hernandez S. de R.L
ocds-lcuori-171626,ocds-lcuori-171626/4-contract,171626,HN-RTN-08019995390633,CASH BUSINESS S DE R.L.
ocds-lcuori-171627,ocds-lcuori-171627/3-contract,171627,HN-RTN-05019995108892,Accesorios Para Computadoras y Oficinas S .A de C.V.
ocds-lcuori-171637,ocds-lcuori-171637/3-contract,171637,HN-RTN-08019004002160,Leoplast S.de R.L.
ocds-lcuori-171639,ocds-lcuori-171639/3-contract,171639,HN-RTN-08019999408461,Representaciones y Distribuciones Hernandez S. de R.L
ocds-lcuori-171644,ocds-lcuori-171644/3-contract,171644,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-171645,ocds-lcuori-171645/3-contract,171645,HN-RTN-08019995383067,Supermercado Canton S de RL.
ocds-lcuori-171647,ocds-lcuori-171647/3-contract,171647,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-171648,ocds-lcuori-171648/3-contract,171648,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-171649,ocds-lcuori-171649/4-contract,171649,HN-RTN-05029995001355,YIP SUPERMERCADOS SA DE CV
