ocid,id,contracts/0/id,contracts/0/suppliers/0/id,contracts/0/suppliers/0/name
ocds-lcuori-5118,ocds-lcuori-5118/3-contract,5118,HN-RTN-08019995290621,DISTRIBUIDORA DE PRODUCTOS DE OFICINA Y ASEO S. DE R. L.
ocds-lcuori-5234,ocds-lcuori-5234/3-contract,5234,HN-RTN-08019998391040,PAPELERIA HONDURAS S. DE R. L.
ocds-lcuori-5115,ocds-lcuori-5115/3-contract,5115,HN-RTN-08019995290621,DISTRIBUIDORA DE PRODUCTOS DE OFICINA Y ASEO S. DE R. L.
ocds-lcuori-5116,ocds-lcuori-5116/3-contract,5116,HN-RTN-08019998391040,PAPELERIA HONDURAS S. DE R. L.
ocds-lcuori-5124,ocds-lcuori-5124/3-contract,5124,HN-RTN-05019995162003,QUALITY SERVICE S.A. DE C.V.
ocds-lcuori-5122,ocds-lcuori-5122/3-contract,5122,HN-RTN-08019995290621,DISTRIBUIDORA DE PRODUCTOS DE OFICINA Y ASEO S. DE R. L.
ocds-lcuori-5126,ocds-lcuori-5126/3-contract,5126,HN-RTN-05019999400238,"""JETSTEREO, S.A. DE C.V."""
ocds-lcuori-5127,ocds-lcuori-5127/3-contract,5127,HN-RTN-08019995290621,DISTRIBUIDORA DE PRODUCTOS DE OFICINA Y ASEO S. DE R. L.
ocds-lcuori-5132,ocds-lcuori-5132/3-contract,5132,HN-RTN-05019999400238,"""JETSTEREO, S.A. DE C.V."""
ocds-lcuori-5130,ocds-lcuori-5130/3-contract,5130,HN-RTN-08019998391040,PAPELERIA HONDURAS S. DE R. L.
ocds-lcuori-5135,ocds-lcuori-5135/3-contract,5135,HN-RTN-08019998391040,PAPELERIA HONDURAS S. DE R. L.
ocds-lcuori-5134,ocds-lcuori-5134/3-contract,5134,HN-RTN-08019995390633,cash business s de r.l 
ocds-lcuori-5139,ocds-lcuori-5139/3-contract,5139,HN-RTN-05019999400238,"JETSTEREO, S. A. DE C. V"
ocds-lcuori-5138,ocds-lcuori-5138/3-contract,5138,HN-RTN-05019999400238,"""JETSTEREO, S.A. DE C.V."""
ocds-lcuori-5143,ocds-lcuori-5143/3-contract,5143,HN-RTN-08019998391040,PAPELERIA HONDURAS S. DE R. L.
ocds-lcuori-5142,ocds-lcuori-5142/3-contract,5142,HN-RTN-08019998391040,PAPELERIA HONDURAS S. DE R.L.
ocds-lcuori-5144,ocds-lcuori-5144/3-contract,5144,HN-RTN-08019998391040,PAPELERIA HONDURAS S. DE R.L.
ocds-lcuori-5149,ocds-lcuori-5149/3-contract,5149,HN-RTN-08019995290621,DISTRIBUIDORA DE PRODUCTOS DE OFICINA Y ASEO S. DE R. L.
ocds-lcuori-5150,ocds-lcuori-5150/3-contract,5150,HN-RTN-08019995290621,Distribuidora de Productos de Oficina y aseo S. de R.L.
ocds-lcuori-5151,ocds-lcuori-5151/3-contract,5151,HN-RTN-08019998391040,PAPELERIA HONDURAS S. DE R. L.
ocds-lcuori-5152,ocds-lcuori-5152/3-contract,5152,HN-RTN-08019998391040,PAPELERIA HONDURAS S. DE R. L.
ocds-lcuori-5153,ocds-lcuori-5153/3-contract,5153,HN-RTN-08019998391040,PAPELERIA HONDURAS S. DE R. L.
ocds-lcuori-5156,ocds-lcuori-5156/3-contract,5156,HN-RTN-08019995290621,Distribuidora de Productos de Oficina y aseo S. de R.L.
ocds-lcuori-5155,ocds-lcuori-5155/3-contract,5155,HN-RTN-08019995290621,DISTRIBUIDORA DE PRODUCTOS DE OFICINA Y ASEO S. DE R. L.
ocds-lcuori-5157,ocds-lcuori-5157/3-contract,5157,HN-RTN-08019995290621,DISTRIBUIDORA DE PRODUCTOS DE OFICINA Y ASEO S. DE R. L.
ocds-lcuori-5160,ocds-lcuori-5160/3-contract,5160,HN-RTN-08019995290621,Distribuidora de Productos de Oficina y aseo S. de R.L.
ocds-lcuori-5167,ocds-lcuori-5167/3-contract,5167,HN-RTN-08019998391040,PAPELERIA HONDURAS S. DE R. L.
ocds-lcuori-5171,ocds-lcuori-5171/3-contract,5171,HN-RTN-05019999400238,"JETSTEREO, S. A. DE C. V"
ocds-lcuori-5524,ocds-lcuori-5524/3-contract,5524,HN-RTN-08019998391040,PAPELERIA HONDURAS S. DE R. L.
ocds-lcuori-5170,ocds-lcuori-5170/3-contract,5170,HN-RTN-05019999400238,"""JETSTEREO, S.A. DE C.V."""
