ocid,id,contracts/0/id,contracts/0/suppliers/0/id,contracts/0/suppliers/0/name
ocds-lcuori-120866,ocds-lcuori-120866/3-contract,120866,HN-RTN-05019000040204,"Pacasa, S. de C.V. "
ocds-lcuori-120868,ocds-lcuori-120868/3-contract,120868,HN-RTN-05019995108892,"ACCESORIOS PARA COMPUTADORA Y OFICINA, S. A."
ocds-lcuori-120869,ocds-lcuori-120869/3-contract,120869,HN-RTN-08019013553050,Inversiones y Equipos S de R.L. de C.V.
ocds-lcuori-120870,ocds-lcuori-120870/3-contract,120870,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-120867,ocds-lcuori-120867/3-contract,120867,HN-RTN-08019006034679,Empresa Tecnologias ATM  S de R.L.
ocds-lcuori-120873,ocds-lcuori-120873/3-contract,120873,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-120874,ocds-lcuori-120874/3-contract,120874,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-120875,ocds-lcuori-120875/3-contract,120875,HN-RTN-08019011442659,Distribuidora Cummins Centroamerica S de R.L.
ocds-lcuori-120872,ocds-lcuori-120872/3-contract,120872,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-120880,ocds-lcuori-120880/3-contract,120880,HN-RTN-08019995304450,"FORMULAS QUIMICAS, S DE R.L."
ocds-lcuori-120883,ocds-lcuori-120883/3-contract,120883,HN-RTN-08019998175033,Deportillantas S. de R.L. 
ocds-lcuori-120884,ocds-lcuori-120884/3-contract,120884,HN-RTN-17071984005643,DISTRIBUIDORA CHOROTEGA
ocds-lcuori-120882,ocds-lcuori-120882/3-contract,120882,HN-RTN-17071984005643,DISTRIBUIDORA CHOROTEGA
ocds-lcuori-120886,ocds-lcuori-120886/3-contract,120886,HN-RTN-08019008165911,"RENDILLANTAS, S. A. DE C. V.?"
ocds-lcuori-120888,ocds-lcuori-120888/3-contract,120888,HN-RTN-08019999408461,REPRESENTACIONES Y DISTRIBUCIONES HERNANDEZ S. DE R. L.
ocds-lcuori-120889,ocds-lcuori-120889/3-contract,120889,HN-RTN-17071984005643,DISTRIBUIDORA CHOROTEGA
ocds-lcuori-120890,ocds-lcuori-120890/3-contract,120890,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-120901,ocds-lcuori-120901/3-contract,120901,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-120903,ocds-lcuori-120903/3-contract,120903,HN-RTN-08019006034679,Empresa Tecnologias ATM  S de R.L.
ocds-lcuori-120904,ocds-lcuori-120904/3-contract,120904,HN-RTN-17071984005643,DISTRIBUIDORA CHOROTEGA
ocds-lcuori-120905,ocds-lcuori-120905/3-contract,120905,HN-RTN-08019995290621,DISPROA S. DE R.L. 
ocds-lcuori-120906,ocds-lcuori-120906/3-contract,120906,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
